id,isbn,title,author,published_year,is_banned,library
"0626870079191","978-1-5077-0456-1","Above court military","Paula Cisneros","1966","False","Archive common library"
"6887284308091","978-0-02-825648-1","This edge can floor","Anthony Figueroa","1902","False","Archive common library"
"3857781052905","978-0-12-575205-3","Moment beat before door","Matthew Wilkins","1901","False","Archive common library"
"2510334283867","978-0-679-67959-2","Design oil eye space","Edward Weber","1965","False","Archive common library"
"7333560128413","978-1-153-19265-1","A talk thus police","Austin Berger","1969","False","Archive common library"
"2336824505574","978-1-352-38259-4","Miss man for able","Nathaniel King","1928","False","Archive common library"
"5556548843005","978-0-402-95082-0","Low sing but wear whose","Melissa Maxwell","1901","False","Archive common library"
"3619892870799","978-0-212-44919-4","Record top leg wall","Christina Dunn","1903","False","Archive common library"
"7109755825395","978-0-452-68322-8","Front change gun couple","Sarah Bishop","1913","False","Archive common library"
"7067721617392","978-0-7711-6614-3","But low grow newspaper","Deborah Pearson","1950","False","Archive common library"
"4744539941194","978-0-17-383689-7","Red leader what up","Justin Jennings","1953","False","Archive common library"
"2018403431046","978-0-85391-789-2","Cover determine one","Juan Black","1908","False","Archive common library"
"2493861526181","978-1-08-012658-3","Pass price huge test","Allison Nguyen","1955","False","Archive common library"
"7432178478597","978-0-638-14363-8","Offer police even","April Wu","1969","False","Archive common library"
"8805098574257","978-1-4922-9851-9","Left animal wall","Mike Orozco","1943","False","Archive common library"
"5786567206875","978-0-283-56382-9","Rather physical compare","Robert Blankenship","1950","False","Archive common library"
"8188718414097","978-1-969322-55-6","Daughter adult citizen","Gina Hodges","1937","False","Archive common library"
"7712302093323","978-1-177-13594-8","Grow on because first","Ana Davis","1915","False","Archive common library"
"4855829465365","978-0-488-22431-0","I build its carry","Brittany Evans","1966","False","Archive common library"
"0889062536845","978-1-5063-0984-2","Buy ok as","Justin Jones","1903","False","Archive common library"
"1476809102617","978-1-342-60382-1","Arrive play view floor","Marc Mitchell","1906","False","Archive common library"
